frame_index,x_centroid,y_centroid,visibility_flag
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,864.8,196.8,1
3,864.8,196.8,1
4,864.8,196.8,1
5,864.8,196.8,1
6,864.8,196.8,1
7,864.8,196.8,1
8,864.8,196.8,1
9,864.8,196.8,1
10,864.8,196.8,1
11,864.8,196.8,1
12,864.8,196.8,1
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,-1.0,-1.0,0
16,-1.0,-1.0,0
17,-1.0,-1.0,0
18,-1.0,-1.0,0
19,-1.0,-1.0,0
20,-1.0,-1.0,0
21,-1.0,-1.0,0
22,-1.0,-1.0,0
23,-1.0,-1.0,0
24,-1.0,-1.0,0
25,-1.0,-1.0,0
26,-1.0,-1.0,0
27,-1.0,-1.0,0
28,-1.0,-1.0,0
29,-1.0,-1.0,0
30,-1.0,-1.0,0
