frame_index,x_centroid,y_centroid,visibility_flag
0,818.5,664.9,1
1,819.8,666.2,1
2,821.4,666.7,1
3,821.6,666.8,1
4,821.2,666.2,1
5,821.5,666.7,1
6,821.5,666.1,1
7,821.2,666.3,1
8,820.6,666.2,1
9,820.6,666.6,1
10,820.7,666.6,1
11,820.9,666.8,1
12,821.0,666.8,1
13,820.8,666.7,1
14,820.6,667.1,1
15,820.6,667.2,1
16,820.7,667.3,1
17,820.6,667.2,1
18,820.5,667.5,1
19,820.6,667.5,1
20,820.8,667.3,1
21,820.8,667.2,1
22,820.3,667.3,1
23,820.3,667.3,1
24,819.9,667.2,1
25,819.8,667.2,1
26,820.8,666.1,1
27,820.8,666.1,1
28,820.7,666.4,1
29,822.5,668.1,1
30,822.5,668.1,1
31,824.3,668.2,1
32,824.3,668.2,1
33,823.0,667.9,1
34,822.9,667.9,1
35,818.2,672.2,1
36,818.2,672.3,1
37,820.0,667.4,1
38,820.0,667.5,1
39,820.3,667.4,1
40,820.3,667.3,1
41,821.0,666.3,1
42,820.9,666.3,1
43,822.0,666.4,1
44,821.9,666.4,1
45,820.9,665.8,1
46,820.9,665.8,1
47,820.4,665.4,1
48,820.4,665.5,1
49,820.0,665.0,1
50,819.9,665.0,1
51,819.9,664.9,1
52,819.9,664.9,1
53,819.8,665.2,1
54,819.8,665.1,1
55,819.1,664.8,1
56,818.4,665.5,1
57,818.1,665.5,1
58,817.9,667.0,1
59,818.0,667.0,1
60,817.3,667.2,1
61,817.3,667.2,1
62,817.2,667.1,1
63,817.2,667.1,1
64,817.1,666.9,1
65,818.4,667.1,1
66,818.8,666.7,1
67,818.8,666.7,1
68,818.8,666.7,1
69,818.8,666.7,1
70,818.8,666.7,1
71,818.8,666.7,1
72,818.8,666.7,1
73,818.8,666.7,1
74,818.8,666.7,1
75,818.8,666.7,1
76,818.8,666.7,1
77,-1.0,-1.0,0
78,-1.0,-1.0,0
79,-1.0,-1.0,0
80,-1.0,-1.0,0
81,-1.0,-1.0,0
82,-1.0,-1.0,0
83,-1.0,-1.0,0
84,-1.0,-1.0,0
85,-1.0,-1.0,0
86,-1.0,-1.0,0
87,-1.0,-1.0,0
88,-1.0,-1.0,0
89,-1.0,-1.0,0
90,-1.0,-1.0,0
91,-1.0,-1.0,0
92,-1.0,-1.0,0
93,-1.0,-1.0,0
94,-1.0,-1.0,0
95,-1.0,-1.0,0
96,-1.0,-1.0,0
97,-1.0,-1.0,0
98,-1.0,-1.0,0
99,-1.0,-1.0,0
100,-1.0,-1.0,0
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,-1.0,-1.0,0
104,-1.0,-1.0,0
105,-1.0,-1.0,0
106,-1.0,-1.0,0
107,-1.0,-1.0,0
108,-1.0,-1.0,0
109,-1.0,-1.0,0
110,-1.0,-1.0,0
111,-1.0,-1.0,0
112,-1.0,-1.0,0
113,-1.0,-1.0,0
114,-1.0,-1.0,0
115,-1.0,-1.0,0
116,-1.0,-1.0,0
117,-1.0,-1.0,0
118,-1.0,-1.0,0
119,-1.0,-1.0,0
120,-1.0,-1.0,0
121,-1.0,-1.0,0
122,-1.0,-1.0,0
123,-1.0,-1.0,0
124,-1.0,-1.0,0
125,-1.0,-1.0,0
126,-1.0,-1.0,0
127,-1.0,-1.0,0
128,-1.0,-1.0,0
129,-1.0,-1.0,0
130,-1.0,-1.0,0
131,-1.0,-1.0,0
132,-1.0,-1.0,0
133,-1.0,-1.0,0
134,-1.0,-1.0,0
135,-1.0,-1.0,0
136,-1.0,-1.0,0
137,-1.0,-1.0,0
138,-1.0,-1.0,0
139,-1.0,-1.0,0
140,-1.0,-1.0,0
141,-1.0,-1.0,0
142,-1.0,-1.0,0
143,-1.0,-1.0,0
144,-1.0,-1.0,0
145,-1.0,-1.0,0
146,-1.0,-1.0,0
147,-1.0,-1.0,0
148,-1.0,-1.0,0
149,-1.0,-1.0,0
150,-1.0,-1.0,0
151,-1.0,-1.0,0
152,-1.0,-1.0,0
153,-1.0,-1.0,0
154,-1.0,-1.0,0
155,-1.0,-1.0,0
156,-1.0,-1.0,0
157,-1.0,-1.0,0
158,-1.0,-1.0,0
159,-1.0,-1.0,0
160,-1.0,-1.0,0
161,-1.0,-1.0,0
162,-1.0,-1.0,0
163,-1.0,-1.0,0
164,-1.0,-1.0,0
165,-1.0,-1.0,0
166,-1.0,-1.0,0
167,-1.0,-1.0,0
168,-1.0,-1.0,0
169,-1.0,-1.0,0
170,-1.0,-1.0,0
171,-1.0,-1.0,0
172,-1.0,-1.0,0
173,-1.0,-1.0,0
174,-1.0,-1.0,0
175,-1.0,-1.0,0
176,-1.0,-1.0,0
177,-1.0,-1.0,0
